N_OF;Date;Annee;Mois;Semaine;Ligne;Four;Site;Departement;Reference_Article;Famille_Article;Decore;Marque_Decor;Qte_Planifiee;Qte_Realisee;Ecart_Unites;Ecart_Pct;Code_Cause;Libelle_Cause;Statut
OF-2026-412;2026-07-03;2026;2026-07;27;L22;U3;Tit Mellil;Verre creux;PIETRA 25 CL VV;Verre creux (bouteilles / pots);OUI;;10000;9957;-43;-0.43;;;OK
OF-2026-413;2026-07-03;2026;2026-07;27;L31;U4;Tit Mellil;Verre creux;BOUTEILLE CIGOGNE 25 CL VB;Verre creux (bouteilles / pots);NON;;12000;11423;-577;-4.81;SERIE;Changement de serie non anticipe;OK
OF-2026-414;2026-07-03;2026;2026-07;27;L13;U2;Tit Mellil;Verre creux;POT 300 ML;Verre creux (bouteilles / pots);NON;;18000;15701;-2299;-12.77;FOUR;Arret four non planifie;A traiter
OF-2026-415;2026-07-04;2026;2026-07;27;L21;U3;Tit Mellil;Verre creux;POT ANFORA 160 TO;Verre creux (bouteilles / pots);NON;;8000;8056;56;0.7;;;OK
OF-2026-416;2026-07-04;2026;2026-07;27;L11;U2;Tit Mellil;Verre creux;BOURGUIGNONNE 75 VV VP;Verre creux (bouteilles / pots);NON;;8000;8052;52;0.65;;;OK
OF-2026-417;2026-07-04;2026;2026-07;27;L22;U3;Tit Mellil;Verre creux;Guinness Genius 33 VA;Verre creux (bouteilles / pots);NON;;10000;9874;-126;-1.26;;;OK
OF-2026-418;2026-07-04;2026;2026-07;27;L23;U3;Tit Mellil;Verre creux;POT PATE A TARTINER 72CL;Verre creux (bouteilles / pots);NON;;10000;9945;-55;-0.55;;;OK
OF-2026-419;2026-07-06;2026;2026-07;28;L01;U1;Roches Noires;Gobeleterie;6V/ ISLANDE AQUA;Gobeleterie (verres);OUI;;15000;13836;-1164;-7.76;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-420;2026-07-06;2026;2026-07;28;L13;U2;Tit Mellil;Verre creux;POT DAWN 50 GRS;Verre creux (bouteilles / pots);NON;;8000;7901;-99;-1.24;;;OK
OF-2026-421;2026-07-06;2026;2026-07;28;L32;U4;Tit Mellil;Verre creux;POT DELICIA 55;Verre creux (bouteilles / pots);NON;;15000;15105;105;0.7;;;OK
OF-2026-422;2026-07-06;2026;2026-07;28;L13;U2;Tit Mellil;Verre creux;POT 106 ML;Verre creux (bouteilles / pots);NON;;9000;8977;-23;-0.26;;;OK
OF-2026-423;2026-07-07;2026;2026-07;28;L12;U2;Tit Mellil;Verre creux;BOUTEILLE SIDI ALI 50 CL VB;Verre creux (bouteilles / pots);NON;;12000;11441;-559;-4.66;QUALITE;Rebuts / non-conformites;OK
OF-2026-424;2026-07-07;2026;2026-07;28;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 NESCAFE GOLD;Gobeleterie (verres);OUI;Nescafé;6000;5721;-279;-4.66;DECOR;Incident atelier decor (casse, defaut d'impression);OK
OF-2026-425;2026-07-07;2026;2026-07;28;L21;U3;Tit Mellil;Verre creux;BORDELAISE 37,5  VH;Verre creux (bouteilles / pots);NON;;15000;15108;108;0.72;;;OK
OF-2026-426;2026-07-07;2026;2026-07;28;L03;U1;Roches Noires;Gobeleterie;6V/ CASABAHIA PE (R);Gobeleterie (verres);NON;;6000;5745;-255;-4.25;SERIE;Changement de serie non anticipe;OK
OF-2026-427;2026-07-07;2026;2026-07;28;L02;U1;Roches Noires;Gobeleterie;12V/THE YACOUTA;Gobeleterie (verres);OUI;;15000;14116;-884;-5.89;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-428;2026-07-08;2026;2026-07;28;L03;U1;Roches Noires;Gobeleterie;6V/ CAFÉ PDT ECONOMIQUE VERA;Gobeleterie (verres);NON;;18000;17937;-63;-0.35;;;OK
OF-2026-429;2026-07-08;2026;2026-07;28;L01;U1;Roches Noires;Gobeleterie;12V/THE FES PRESTIGE;Gobeleterie (verres);NON;;15000;14726;-274;-1.83;;;OK
OF-2026-430;2026-07-08;2026;2026-07;28;L01;U1;Roches Noires;Gobeleterie;6V/THE ISLANDE GM SAMARA NV;Gobeleterie (verres);NON;;10000;9599;-401;-4.01;SERIE;Changement de serie non anticipe;OK
OF-2026-431;2026-07-08;2026;2026-07;28;L11;U2;Tit Mellil;Verre creux;PIETRA 25 VA;Verre creux (bouteilles / pots);NON;;15000;14810;-190;-1.27;;;OK
OF-2026-432;2026-07-09;2026;2026-07;28;L12;U2;Tit Mellil;Verre creux;POT CAFE 50 CARRE;Verre creux (bouteilles / pots);NON;;18000;18152;152;0.84;;;OK
OF-2026-433;2026-07-09;2026;2026-07;28;L02;U1;Roches Noires;Gobeleterie;12V/THE C16 TAJ BLANC;Gobeleterie (verres);OUI;;12000;11877;-123;-1.03;;;OK
OF-2026-434;2026-07-09;2026;2026-07;28;L23;U3;Tit Mellil;Verre creux;POT 85 STD;Verre creux (bouteilles / pots);NON;;9000;8971;-29;-0.32;;;OK
OF-2026-435;2026-07-09;2026;2026-07;28;L02;U1;Roches Noires;Gobeleterie;6V/ICEGLASS TENDANCE NU;Gobeleterie (verres);NON;;18000;16075;-1925;-10.7;FOUR;Arret four non planifie;A traiter
OF-2026-436;2026-07-10;2026;2026-07;28;L02;U1;Roches Noires;Gobeleterie;12V/O S L O;Gobeleterie (verres);OUI;;15000;15042;42;0.28;;;OK
OF-2026-437;2026-07-10;2026;2026-07;28;L22;U3;Tit Mellil;Verre creux;Guinness Genius 33 VA;Verre creux (bouteilles / pots);NON;;12000;12014;14;0.12;;;OK
OF-2026-438;2026-07-10;2026;2026-07;28;L22;U3;Tit Mellil;Verre creux;BORDELAISE 500 VB ALMA RWS;Verre creux (bouteilles / pots);NON;;12000;10461;-1539;-12.83;FOUR;Arret four non planifie;A traiter
OF-2026-439;2026-07-10;2026;2026-07;28;L21;U3;Tit Mellil;Verre creux;POT PATE A TARTINER 37CL;Verre creux (bouteilles / pots);OUI;;8000;7937;-63;-0.79;;;OK
OF-2026-440;2026-07-10;2026;2026-07;28;L21;U3;Tit Mellil;Verre creux;MX DOUBLE RE CUVE 78.1 CMC VV;Verre creux (bouteilles / pots);OUI;;18000;17347;-653;-3.63;SERIE;Changement de serie non anticipe;OK
OF-2026-441;2026-07-11;2026;2026-07;28;L01;U1;Roches Noires;Gobeleterie;4V/CONIQUE 28 D;Gobeleterie (verres);NON;;8000;8054;54;0.67;;;OK
OF-2026-442;2026-07-11;2026;2026-07;28;L22;U3;Tit Mellil;Verre creux;BD CONICA PESANTE 75CL VB;Verre creux (bouteilles / pots);NON;;8000;7913;-87;-1.08;;;OK
OF-2026-443;2026-07-11;2026;2026-07;28;L21;U3;Tit Mellil;Verre creux;POT DELICIA 55;Verre creux (bouteilles / pots);NON;;15000;13814;-1186;-7.91;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-444;2026-07-13;2026;2026-07;29;L33;U4;Tit Mellil;Verre creux;POT DAWN 50 GRS;Verre creux (bouteilles / pots);NON;;6000;5658;-342;-5.7;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-445;2026-07-13;2026;2026-07;29;L33;U4;Tit Mellil;Verre creux;BOUTEILLE 33CL VV  BREMER MAD;Verre creux (bouteilles / pots);NON;;6000;5603;-397;-6.62;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-446;2026-07-13;2026;2026-07;29;L13;U2;Tit Mellil;Verre creux;BORDELAISE ANNA VB 75 CL;Verre creux (bouteilles / pots);OUI;;15000;14070;-930;-6.2;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-447;2026-07-13;2026;2026-07;29;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 OCP LOGO;Gobeleterie (verres);OUI;OCP Group;12000;11860;-140;-1.17;;;OK
OF-2026-448;2026-07-13;2026;2026-07;29;L21;U3;Tit Mellil;Verre creux;AIN SAISS 50 CL;Verre creux (bouteilles / pots);NON;;10000;9985;-15;-0.15;;;OK
OF-2026-449;2026-07-14;2026;2026-07;29;L32;U4;Tit Mellil;Verre creux;BREMER 65 CL VA SACO;Verre creux (bouteilles / pots);NON;;15000;13554;-1446;-9.64;FOUR;Arret four non planifie;A traiter
OF-2026-450;2026-07-14;2026;2026-07;29;L01;U1;Roches Noires;Gobeleterie;12V/EXPRESS TOTAL ENERGIES BLA;Gobeleterie (verres);NON;;18000;17839;-161;-0.9;;;OK
OF-2026-451;2026-07-14;2026;2026-07;29;L02;U1;Roches Noires;Gobeleterie;6V CAFE ROMA;Gobeleterie (verres);OUI;;12000;12012;12;0.1;;;OK
OF-2026-452;2026-07-14;2026;2026-07;29;L11;U2;Tit Mellil;Verre creux;BORDELAISE 500 VB ALMA;Verre creux (bouteilles / pots);OUI;;12000;11829;-171;-1.43;;;OK
OF-2026-453;2026-07-15;2026;2026-07;29;L01;U1;Roches Noires;Gobeleterie;12V/THE C16 NOUARA SO;Gobeleterie (verres);OUI;;8000;8037;37;0.47;;;OK
OF-2026-454;2026-07-15;2026;2026-07;29;L23;U3;Tit Mellil;Verre creux;SIDI ALI 75 CL VXB;Verre creux (bouteilles / pots);OUI;;9000;8083;-917;-10.19;FOUR;Arret four non planifie;A traiter
OF-2026-455;2026-07-15;2026;2026-07;29;L31;U4;Tit Mellil;Verre creux;Apo gravée Youki 33 VB VM;Verre creux (bouteilles / pots);OUI;;18000;17683;-317;-1.76;;;OK
OF-2026-456;2026-07-15;2026;2026-07;29;L33;U4;Tit Mellil;Verre creux;BD CONICA PESANTE 75CL VH;Verre creux (bouteilles / pots);OUI;;8000;7986;-14;-0.18;;;OK
OF-2026-457;2026-07-16;2026;2026-07;29;L22;U3;Tit Mellil;Verre creux;TROPICANA POINT BLANC;Verre creux (bouteilles / pots);OUI;;8000;7536;-464;-5.81;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-458;2026-07-16;2026;2026-07;29;L02;U1;Roches Noires;Gobeleterie;12V/THE TOKYO MAROC TELECOM;Gobeleterie (verres);OUI;Maroc Telecom;6000;5534;-466;-7.77;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-459;2026-07-16;2026;2026-07;29;L03;U1;Roches Noires;Gobeleterie;F L G M (12);Gobeleterie (verres);NON;;12000;11995;-5;-0.04;;;OK
OF-2026-460;2026-07-16;2026;2026-07;29;L03;U1;Roches Noires;Gobeleterie;F L G M (12);Gobeleterie (verres);OUI;;6000;5562;-438;-7.3;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-461;2026-07-16;2026;2026-07;29;L11;U2;Tit Mellil;Verre creux;POT DELICIA 55;Verre creux (bouteilles / pots);OUI;;10000;9864;-136;-1.36;;;OK
OF-2026-462;2026-07-17;2026;2026-07;29;L33;U4;Tit Mellil;Verre creux;COCA COLA  20 A NON DECOREE;Verre creux (bouteilles / pots);NON;;12000;11823;-177;-1.48;;;OK
OF-2026-463;2026-07-17;2026;2026-07;29;L33;U4;Tit Mellil;Verre creux;BOUTEILLE SKITTLE 30 CL VB;Verre creux (bouteilles / pots);NON;;10000;9932;-68;-0.68;;;OK
OF-2026-464;2026-07-17;2026;2026-07;29;L01;U1;Roches Noires;Gobeleterie;12V/TOKYO AHLAN WESAHLAN BLEU;Gobeleterie (verres);OUI;;15000;14992;-8;-0.06;;;OK
OF-2026-465;2026-07-18;2026;2026-07;29;L12;U2;Tit Mellil;Verre creux;BOUTEILLE  50 CL ALE VV;Verre creux (bouteilles / pots);NON;;8000;8031;31;0.38;;;OK
OF-2026-466;2026-07-18;2026;2026-07;29;L01;U1;Roches Noires;Gobeleterie;12V/ THE C16 FIBULE;Gobeleterie (verres);NON;;8000;8021;21;0.27;;;OK
OF-2026-467;2026-07-18;2026;2026-07;29;L32;U4;Tit Mellil;Verre creux;PIETRA 25 CL VB;Verre creux (bouteilles / pots);NON;;8000;8052;52;0.65;;;OK
OF-2026-468;2026-07-20;2026;2026-07;30;L11;U2;Tit Mellil;Verre creux;POT GRAVE AICHA 21 EPAL;Verre creux (bouteilles / pots);OUI;;12000;12036;36;0.3;;;OK
OF-2026-469;2026-07-20;2026;2026-07;30;L13;U2;Tit Mellil;Verre creux;BORDELAISE VIPO 75 CL VB;Verre creux (bouteilles / pots);NON;;8000;7668;-332;-4.15;SERIE;Changement de serie non anticipe;OK
OF-2026-470;2026-07-20;2026;2026-07;30;L13;U2;Tit Mellil;Verre creux;BOUTEILLE OULMES CLASSIC 1L;Verre creux (bouteilles / pots);NON;;8000;8069;69;0.86;;;OK
OF-2026-471;2026-07-20;2026;2026-07;30;L01;U1;Roches Noires;Gobeleterie;12V/THE TOKYO MAROC TELECOM;Gobeleterie (verres);OUI;Maroc Telecom;15000;14420;-580;-3.87;SERIE;Changement de serie non anticipe;OK
OF-2026-472;2026-07-21;2026;2026-07;30;L02;U1;Roches Noires;Gobeleterie;6V/CONIQUE 18;Gobeleterie (verres);NON;;8000;7951;-49;-0.61;;;OK
OF-2026-473;2026-07-21;2026;2026-07;30;L22;U3;Tit Mellil;Verre creux;BD CONICA PESANTE 75CL VH;Verre creux (bouteilles / pots);OUI;;15000;13301;-1699;-11.33;FOUR;Arret four non planifie;A traiter
OF-2026-474;2026-07-21;2026;2026-07;30;L01;U1;Roches Noires;Gobeleterie;12V/THE LUX TRADITION ANBA NV;Gobeleterie (verres);NON;;18000;17289;-711;-3.95;QUALITE;Rebuts / non-conformites;OK
OF-2026-475;2026-07-21;2026;2026-07;30;L12;U2;Tit Mellil;Verre creux;BOUTEILLE SIDI ALI 50 CL VB;Verre creux (bouteilles / pots);OUI;;15000;13817;-1183;-7.89;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-476;2026-07-22;2026;2026-07;30;L31;U4;Tit Mellil;Verre creux;ALE 50 CL VV VM;Verre creux (bouteilles / pots);NON;;8000;7973;-27;-0.34;;;OK
OF-2026-477;2026-07-22;2026;2026-07;30;L22;U3;Tit Mellil;Verre creux;BORD. FLORENCE VB 75CL  CETIE;Verre creux (bouteilles / pots);NON;;6000;5970;-30;-0.5;;;OK
OF-2026-478;2026-07-22;2026;2026-07;30;L22;U3;Tit Mellil;Verre creux;COCA COLA  20 A NON DECOREE;Verre creux (bouteilles / pots);NON;;10000;10016;16;0.16;;;OK
OF-2026-479;2026-07-22;2026;2026-07;30;L02;U1;Roches Noires;Gobeleterie;6V/ EAU MOUMTAZ 30 NV;Gobeleterie (verres);OUI;;18000;18036;36;0.2;;;OK
OF-2026-480;2026-07-23;2026;2026-07;30;L02;U1;Roches Noires;Gobeleterie;6V/ ICEGLASS CERAMICA;Gobeleterie (verres);NON;;12000;11788;-212;-1.77;;;OK
OF-2026-481;2026-07-23;2026;2026-07;30;L12;U2;Tit Mellil;Verre creux;BORDELAISE 37,5 VV VP;Verre creux (bouteilles / pots);OUI;;15000;15121;121;0.81;;;OK
OF-2026-482;2026-07-23;2026;2026-07;30;L02;U1;Roches Noires;Gobeleterie;12V/THE C16 OCP LOGO;Gobeleterie (verres);OUI;OCP Group;12000;11249;-751;-6.26;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-483;2026-07-23;2026;2026-07;30;L33;U4;Tit Mellil;Verre creux;BORDELAISE VIPO 75CL VV;Verre creux (bouteilles / pots);OUI;;8000;8061;61;0.76;;;OK
OF-2026-484;2026-07-23;2026;2026-07;30;L23;U3;Tit Mellil;Verre creux;BOUTEILLE SKITTLE 30 CL VB;Verre creux (bouteilles / pots);OUI;;6000;5666;-334;-5.56;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-485;2026-07-24;2026;2026-07;30;L01;U1;Roches Noires;Gobeleterie;12V/THE YACOUTA;Gobeleterie (verres);NON;;18000;17651;-349;-1.94;;;OK
OF-2026-486;2026-07-24;2026;2026-07;30;L33;U4;Tit Mellil;Verre creux;BORDELAISE 75 CL AVIS BVS VV;Verre creux (bouteilles / pots);NON;;12000;11954;-46;-0.39;;;OK
OF-2026-487;2026-07-24;2026;2026-07;30;L23;U3;Tit Mellil;Verre creux;POT ANFORA 160 TO;Verre creux (bouteilles / pots);NON;;10000;9910;-90;-0.9;;;OK
OF-2026-488;2026-07-24;2026;2026-07;30;L13;U2;Tit Mellil;Verre creux;BEER CASTEL 33 VA VMF;Verre creux (bouteilles / pots);NON;;18000;18028;28;0.16;;;OK
OF-2026-489;2026-07-24;2026;2026-07;30;L31;U4;Tit Mellil;Verre creux;BORD. FLORENCE VH75CL  CETIE;Verre creux (bouteilles / pots);NON;;10000;9459;-541;-5.41;SERIE;Changement de serie non anticipe;A traiter
OF-2026-490;2026-07-25;2026;2026-07;30;L31;U4;Tit Mellil;Verre creux;POT  37 CL GRAVE VMM;Verre creux (bouteilles / pots);NON;;9000;8563;-437;-4.86;QUALITE;Rebuts / non-conformites;OK
OF-2026-491;2026-07-25;2026;2026-07;30;L13;U2;Tit Mellil;Verre creux;BOUTEILLE  25 CL VB CLASSIQUE;Verre creux (bouteilles / pots);NON;;8000;7888;-112;-1.39;;;OK
OF-2026-492;2026-07-25;2026;2026-07;30;L01;U1;Roches Noires;Gobeleterie;CONIQUE 5 PRESSE X12 NU;Gobeleterie (verres);NON;;8000;7110;-890;-11.13;FOUR;Arret four non planifie;A traiter
OF-2026-493;2026-07-25;2026;2026-07;30;L02;U1;Roches Noires;Gobeleterie;6V/MOUMTAZ GM;Gobeleterie (verres);OUI;;10000;8706;-1294;-12.94;FOUR;Arret four non planifie;A traiter
OF-2026-494;2026-07-27;2026;2026-07;31;L11;U2;Tit Mellil;Verre creux;POT FRUITA 450 ML;Verre creux (bouteilles / pots);OUI;;6000;6022;22;0.37;;;OK
OF-2026-495;2026-07-27;2026;2026-07;31;L23;U3;Tit Mellil;Verre creux;BOUTEILLE BG 30 VB;Verre creux (bouteilles / pots);NON;;10000;9675;-325;-3.25;AUTRE;Cause diverse;OK
OF-2026-496;2026-07-27;2026;2026-07;31;L21;U3;Tit Mellil;Verre creux;POT  TRAMIER 37 CL;Verre creux (bouteilles / pots);NON;;12000;12038;38;0.31;;;OK
OF-2026-497;2026-07-27;2026;2026-07;31;L31;U4;Tit Mellil;Verre creux;Bremer 30 VB;Verre creux (bouteilles / pots);OUI;;8000;8027;27;0.34;;;OK
OF-2026-498;2026-07-28;2026;2026-07;31;L22;U3;Tit Mellil;Verre creux;BD CONICA PESANTE 75CL VB;Verre creux (bouteilles / pots);NON;;12000;11126;-874;-7.28;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-499;2026-07-28;2026;2026-07;31;L12;U2;Tit Mellil;Verre creux;BOUTEILLE  50 CL ALE VV;Verre creux (bouteilles / pots);OUI;;18000;16897;-1103;-6.13;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-500;2026-07-28;2026;2026-07;31;L03;U1;Roches Noires;Gobeleterie;6V/EAU ICEGLASS SIDI ALI EVENT;Gobeleterie (verres);OUI;Sidi Ali;15000;14148;-852;-5.68;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-501;2026-07-28;2026;2026-07;31;L22;U3;Tit Mellil;Verre creux;BORDELAISE 75 CL AVIS BVS VV;Verre creux (bouteilles / pots);NON;;6000;5957;-43;-0.72;;;OK
OF-2026-502;2026-07-29;2026;2026-07;31;L32;U4;Tit Mellil;Verre creux;BUD APO 65 CL VA SACO VM;Verre creux (bouteilles / pots);NON;;8000;7098;-902;-11.27;FOUR;Arret four non planifie;A traiter
OF-2026-503;2026-07-29;2026;2026-07;31;L12;U2;Tit Mellil;Verre creux;BOUTEILLE BG 50 VB;Verre creux (bouteilles / pots);OUI;;10000;9928;-72;-0.72;;;OK
OF-2026-504;2026-07-29;2026;2026-07;31;L11;U2;Tit Mellil;Verre creux;PIETRA 25 CL VB;Verre creux (bouteilles / pots);OUI;;6000;5382;-618;-10.29;FOUR;Arret four non planifie;A traiter
OF-2026-505;2026-07-30;2026;2026-07;31;L11;U2;Tit Mellil;Verre creux;COCA COLA  20 A NON DECOREE;Verre creux (bouteilles / pots);NON;;12000;11658;-342;-2.85;QUALITE;Rebuts / non-conformites;OK
OF-2026-506;2026-07-30;2026;2026-07;31;L03;U1;Roches Noires;Gobeleterie;6V/C5 SHELL HELIX;Gobeleterie (verres);NON;;9000;8727;-273;-3.04;QUALITE;Rebuts / non-conformites;OK
OF-2026-507;2026-07-30;2026;2026-07;31;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 ARCHE BLEU;Gobeleterie (verres);NON;;15000;15031;31;0.21;;;OK
OF-2026-508;2026-07-30;2026;2026-07;31;L02;U1;Roches Noires;Gobeleterie;RIAD;Gobeleterie (verres);NON;;8000;7670;-330;-4.13;SERIE;Changement de serie non anticipe;OK
OF-2026-509;2026-07-30;2026;2026-07;31;L03;U1;Roches Noires;Gobeleterie;6V/CONIQUE 5 BUTAGAZ NOUVEAU;Gobeleterie (verres);OUI;Butagaz;10000;10075;75;0.75;;;OK
OF-2026-510;2026-07-31;2026;2026-07;31;L31;U4;Tit Mellil;Verre creux;BORDELAISE 75 CL AVIS BVS VV;Verre creux (bouteilles / pots);OUI;;18000;16797;-1203;-6.68;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-511;2026-07-31;2026;2026-07;31;L11;U2;Tit Mellil;Verre creux;Guinness Genius 33 VA VM;Verre creux (bouteilles / pots);NON;;15000;15136;136;0.91;;;OK
OF-2026-512;2026-07-31;2026;2026-07;31;L32;U4;Tit Mellil;Verre creux;BELLE KRITER 20 CL VV;Verre creux (bouteilles / pots);NON;;10000;8835;-1165;-11.65;FOUR;Arret four non planifie;A traiter
OF-2026-513;2026-07-31;2026;2026-07;31;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 NESCAFE GOLD;Gobeleterie (verres);NON;;6000;5319;-681;-11.34;FOUR;Arret four non planifie;A traiter
OF-2026-514;2026-08-01;2026;2026-08;31;L32;U4;Tit Mellil;Verre creux;OULMES 33 CL VB;Verre creux (bouteilles / pots);OUI;;6000;5997;-3;-0.04;;;OK
OF-2026-515;2026-08-01;2026;2026-08;31;L33;U4;Tit Mellil;Verre creux;POT FRUITA  300 ML;Verre creux (bouteilles / pots);NON;;10000;9966;-34;-0.34;;;OK
OF-2026-516;2026-08-01;2026;2026-08;31;L12;U2;Tit Mellil;Verre creux;POT  AICHA 106 ML NM;Verre creux (bouteilles / pots);NON;;6000;6056;56;0.94;;;OK
OF-2026-517;2026-08-03;2026;2026-08;32;L22;U3;Tit Mellil;Verre creux;POT CAFE 100 CARRE;Verre creux (bouteilles / pots);OUI;;15000;14281;-719;-4.79;SERIE;Changement de serie non anticipe;OK
OF-2026-518;2026-08-03;2026;2026-08;32;L11;U2;Tit Mellil;Verre creux;PIETRA 25 CL VB;Verre creux (bouteilles / pots);OUI;;18000;17727;-273;-1.52;;;OK
OF-2026-519;2026-08-03;2026;2026-08;32;L13;U2;Tit Mellil;Verre creux;POT  21 GRAVE AICHA;Verre creux (bouteilles / pots);NON;;8000;7961;-39;-0.49;;;OK
OF-2026-520;2026-08-03;2026;2026-08;32;L01;U1;Roches Noires;Gobeleterie;MOUMTAZ 30;Gobeleterie (verres);NON;;8000;7896;-104;-1.3;;;OK
OF-2026-521;2026-08-04;2026;2026-08;32;L13;U2;Tit Mellil;Verre creux;AIN SAISS 33 CL;Verre creux (bouteilles / pots);NON;;12000;11590;-410;-3.42;AUTRE;Cause diverse;OK
OF-2026-522;2026-08-04;2026;2026-08;32;L12;U2;Tit Mellil;Verre creux;OULMES 33 CL VB;Verre creux (bouteilles / pots);NON;;8000;7603;-397;-4.96;QUALITE;Rebuts / non-conformites;OK
OF-2026-523;2026-08-04;2026;2026-08;32;L33;U4;Tit Mellil;Verre creux;POT PATE A TARTINER 37CL;Verre creux (bouteilles / pots);OUI;;8000;7573;-427;-5.34;QUALITE;Rebuts / non-conformites;A traiter
OF-2026-524;2026-08-04;2026;2026-08;32;L02;U1;Roches Noires;Gobeleterie;CONIQUE 5 PRESSE X12 NU;Gobeleterie (verres);NON;;10000;10035;35;0.35;;;OK
OF-2026-525;2026-08-05;2026;2026-08;32;L33;U4;Tit Mellil;Verre creux;BG ECOVA EVOL BVS HAVANE77 PLU;Verre creux (bouteilles / pots);NON;;6000;5895;-105;-1.75;;;OK
OF-2026-526;2026-08-05;2026;2026-08;32;L33;U4;Tit Mellil;Verre creux;POT DAWN 300 GRS;Verre creux (bouteilles / pots);NON;;10000;10045;45;0.45;;;OK
OF-2026-527;2026-08-05;2026;2026-08;32;L02;U1;Roches Noires;Gobeleterie;6V/ICEGLASS TENDANCE NU;Gobeleterie (verres);OUI;;18000;18173;173;0.96;;;OK
OF-2026-528;2026-08-05;2026;2026-08;32;L23;U3;Tit Mellil;Verre creux;POT CAFE JODA JAR 50GR;Verre creux (bouteilles / pots);NON;;15000;14728;-272;-1.81;;;OK
OF-2026-529;2026-08-06;2026;2026-08;32;L02;U1;Roches Noires;Gobeleterie;12V/THE CONIQUE 5 PRESSE;Gobeleterie (verres);NON;;10000;9920;-80;-0.8;;;OK
OF-2026-530;2026-08-06;2026;2026-08;32;L22;U3;Tit Mellil;Verre creux;BREMER 33 CL VA SACO VM;Verre creux (bouteilles / pots);OUI;;15000;14988;-12;-0.08;;;OK
